Id,Comment,Review
1,Great shot! 😍,1
2,Love this picture! ❤️,1
3,Amazing content! 👌,1
4,Fantastic post! 😊,1
5,Beautiful capture! ,1
6,Absolutely stunning! 😍,1
7,Incredible work! 👏,1
8,This is awesome! 🙌,1
9,So inspiring! 💫,1
10,Absolutely love it! 💖,1
11,Not impressed,0
12,Disappointing photo. 😕,0
13,Not my cup of tea. 🤷‍♂️,0
14,Could be better. 🤔,0
15,"Meh, it's okay. 😐",0
16,Nothing special. 🙄,0
17,Could use improvement. 💭,0
18,Not feeling it. 😔,0
19,It's just alright. 😕,0
20,Could be more creative. 💡,0
21,This is amazing! 😍,1
22,Love the vibes! ✨,1
23,So much talent! 👏,1
24,Absolutely gorgeous! 💖,1
25,This is breathtaking! 😱,1
26,Fantastic job! 👍,1
27,In awe of this! 😍,1
28,You nailed it! 🎯,1
29,Obsessed with this! 😍,1
30,Brilliant work! 💯,1
31,Not my style. 🤷‍♀️,0
32,Not feeling this. 😔,0
33,Could be better executed. 💭,0
34,Didn't catch my eye. 🙄,0
35,This could improve. 📝,0
36,Lacking something. 🤔,0
37,Not what I expected. 😕,0
38,Missing the mark. 🎯,0
39,"Nice try, but no. 🚫",0
40,This is fire! 🔥,1
41,So much talent here! 👌,1
42,Absolutely stunning! 😍,1
43,Incredible shot! 📸,1
44,This is perfection! 👌,1
45,Totally mesmerizing! 😍,1
46,Impressive work! 👏,1
47,Absolutely love it! 💖,1
48,This is amazing! 😍,1
49,Not my thing. 🤷‍♂️,0
50,Could be better. 🤔,0
51,Disappointing. 😔,0
52,It's alright. 😐,0
53,Just okay. 😕,0
54,Not what I expected. 😒,0
55,Needs improvement. 💭,0
56,Underwhelmed. 🙄,0
57,Could use some polish. ✨,0
58,This doesn't wow me. 😕,0
59,Not my favorite. 🤷‍♀️,0
60,This is gold! 🌟,1
61,Absolutely amazing! 😍,1
62,This is everything! 💖,1
63,Mind-blowing! 🤯,1
64,Such talent! 👏,1
65,This is epic! 🚀,1
66,Seriously impressive! 👍,1
67,This is top-notch! 👌,1
68,Pure brilliance! 💫,1
69,So inspiring! 🌈,1
70,Didn't quite hit the mark. 😔,0
71,Lacks creativity. 🤔,0
72,Underwhelming. 😕,0
73,Expected more. 😒,0
74,Not my style. 🤷‍♂️,0
75,Could be better executed. 💭,0
76,This didn't grab my attention. 🙄,0
77,Misses the mark. 🎯,0
78,Not my cup of tea. 🍵,0
79,This is fantastic! 😍,1
80,Absolutely brilliant! 👏,1
81,This is top-tier! 💯,1
82,Phenomenal! 🌟,1
83,his is gold! ✨,1
84,This is incredible! 😍,1
85,Such talent! 👌,1
86,Absolutely stunning! 💖,1
87,In awe of this! 👏,1
88,This is amazing! 😊,1
89,Outstanding work! 🙌,1
90,This is just perfect! 👍,1
91,Not feeling this. 😔,0
92,Underwhelmed. 😕,0
93,Expected more. 😒,0
94,Could use improvement. 💭,0
95,It's just okay. 😐,0
96,Not my style. 🤷‍♀️,0
97,This is fire! 🔥,1
98,Absolutely love it! 😍,1
99,This is amazing! 🌟,1
100,Incredible work! 👏,1
101,Love this shot! 😍,1
102,Amazing work! ✨,1
103,Fantastic picture! 👏,1
104,Brilliant! 🙌,1
105,Absolutely beautiful! 💖,1
106,Such a lovely photo! 😊,1
107,Not feeling it. 😒,0
108,This is not good. 😞,0
109,Disappointing quality. 😔,0
110,I expected better. 😕,0
111,This doesn't interest me. 😴,0
112,This is terrible. 😠,0
113,I'm let down. 😞,0
114,Not sure how I feel about this. 🤷‍♂️,-1
115,"It's average, I guess. 😐",-1
116,I'm unsure about it. 🤔,-1
117,I don't have a strong opinion. 😐,-1
118,I'm neutral about this. 🤔,-1
119,It's neither here nor there. 🤷‍♀️,-1
120,This shot is incredible! 😍,1
121,Simply stunning! ✨,1
122,Exceptional work! 👏,1
123,Mind-blowing! 🙌,1
124,Gorgeous picture! 💖,1
125,Absolutely breathtaking! 😊,1
126,Not my cup of tea. 😒,0
127,This is disappointing. 😞,0
128,I'm not impressed. 😕,0
129,Underwhelming quality. 😔,0
130,I'm not interested. 😴,0
131,This is awful. 😠,0
132,I'm not satisfied. 😞,0
133,Neutral about this. 🤷‍♂️,-1
134,"It's okay, I suppose. 😐",-1
135,I have mixed feelings. 🤔,-1
136,I'm indifferent. 😐,-1
137,I'm not sure about it. 🤔,-1
138,It's neither here nor there. 🤷‍♀️,-1
139,This shot is incredible! 😍,1
140,Simply stunning! ✨,1
141,Exceptional work! 👏,1
142,Mind-blowing! 🙌,1
143,Gorgeous picture! 💖,1
144,Absolutely breathtaking! 😊,1
145,Not my cup of tea. 😒,0
146,This is disappointing. 😞,0
147,I'm not impressed. 😕,0
148,Underwhelming quality. 😔,0
149,I'm not interested. 😴,0
150,This is awful. 😠,0
151,I'm not satisfied. 😞,0
152,Neutral about this. 🤷‍♂️,-1
153,"It's okay, I suppose. 😐",-1
154,I have mixed feelings. 🤔,-1
155,I'm indifferent. 😐,-1
156,I'm not sure about it. 🤔,-1
157,It's neither here nor there. 🤷‍♀️,-1
158,This shot is incredible! 😍,1
159,Simply stunning! ✨,1
160,Exceptional work! 👏,1
161,Mind-blowing! 🙌,1
162,Gorgeous picture! 💖,1
163,Absolutely breathtaking! 😊,1
164,Not my cup of tea. 😒,0
165,This is disappointing. 😞,0
166,I'm not impressed. 😕,0
167,Underwhelming quality. 😔,0
168,I'm not interested. 😴,0
169,This is awful. 😠,0
170,I'm not satisfied. 😞,0
171,Neutral about this. 🤷‍♂️,-1
172,"It's okay, I suppose. 😐",-1
173,I have mixed feelings. 🤔,-1
174,I'm indifferent. 😐,-1
175,I'm not sure about it. 🤔,-1
176,It's neither here nor there. 🤷‍♀️,-1
177,This shot is incredible! 😍,1
178,Simply stunning! ✨,1
179,Exceptional work! 👏,1
180,Mind-blowing! 🙌,1
181,Gorgeous picture! 💖,1
182,Absolutely breathtaking! 😊,1
183,Not my cup of tea. 😒,0
184,This is disappointing. 😞,0
185,I'm not impressed. 😕,0
186,Underwhelming quality. 😔,0
187,I'm not interested. 😴,0
188,This is awful. 😠,0
189,I'm not satisfied. 😞,0
190,Neutral about this. 🤷‍♂️,-1
191,"It's okay, I suppose. 😐",-1
192,I have mixed feelings. 🤔,-1
193,I'm indifferent. 😐,-1
194,I'm not sure about it. 🤔,-1
195,It's neither here nor there. 🤷‍♀️,-1
196,Loving the weather today! ,1
197,Excited for the weekend! 🎉,1
198,This is fantastic news! ,1
199,Feeling grateful for all the love and support! ,1
200,Amazing job on your presentation! ,1
201,Having a great day so far! ,1
202,Not impressed with the service at this restaurant. ,0
203,This is terrible news. ,0
204,Disappointing results from the game. ,0
205,I expected better from this company. ,0
206,Feeling bored at home. ,0
207,Such a letdown. ,0
